date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,pMacd_Hist,sMacd_Hist,match
23-09-2016,0,0,0,0,0,0,1.11970532,0,1.1198132,0,1.11993551,0,1.1206615,0,1.12029743,0,1.120368,0,1.119941,0,1.12144327,0,37.92148,-0.0000567436218,0.000458757073,4,4,4,10,0,4,4,4,4,4.8,4.631992,4.66666651,4.495117,4.857143,4.68138647,4.733333,4.75909233,4.6,4.717113,4.9666667,4.838923,4.9333334,4.87023,4.9,4.844193,42.8571434,51.9560623,-0.08913994,-0.1052288,-0.000515500666,0.0160888582,true
22-09-2016,1.12132764,1.12132764,1.12132764,1.12132764,0,1.11807156,1.11970532,1.11869848,1.1198132,1.12002933,1.11993551,1.12109,1.1206615,1.12093568,1.12029743,1.12289727,1.120368,1.11594284,1.119941,1.11805928,1.12144327,53.0038376,37.92148,-0.0000567436218,0.0006222195,0,0,0,0,0,0,0,0,0,5,4.94798756,5,4.99023438,5,4.90851545,4.8,4.867534,4.7,4.87647152,4.9666667,4.89677954,4.95,4.89972973,4.9,4.86316347,57.14286,54.9890327,-0.0214385986,-0.105644971,-0.000678963144,0.08420637,true
21-09-2016,1.11919427,1.11919427,1.11919427,1.11919427,0,1.11882854,1.11889422,1.11765361,1.11829865,1.12010121,1.11947143,1.12098956,1.12056637,1.12147892,1.12006843,1.122664,1.12030184,1.11576438,1.119894,1.11804724,1.12144589,34.5497856,32.8940277,-0.000147342682,0.000775814056,0,0,0,0,0,0,0,0,0,5,4.92198133,5,4.98046875,4.714286,4.878021,4.8,4.8486104,4.7,4.849021,4.9666667,4.889661,4.95,4.896331,4.87777758,4.86008835,57.14286,54.27109,-0.0365333557,-0.10463953,-0.000923156738,0.0681061745,true
20-09-2016,1.11557341,1.11557341,1.11557341,1.11557341,0,1.11993623,1.11874425,1.11661255,1.117403,1.12082016,1.11956382,1.120798,1.12076235,1.12200761,1.12026274,1.12265158,1.12037826,1.115651,1.11991775,1.118085,1.12149644,3.22863388,32.34211,-0.00004351139,0.000957568467,0,0,0,0,0,0,0,0,0,5,4.88297224,5,4.9609375,4.571429,4.837361,4.8,4.82698345,4.7,4.81547,4.9666667,4.88205147,4.95,4.89281654,4.9,4.856944,57.14286,53.3138351,-0.0552687645,-0.101834245,-0.0010010798,0.04656548,true
19-09-2016,1.118193,1.118193,1.118193,1.118193,0,1.12118781,1.12032974,1.11979234,1.11923265,1.12189412,1.120894,1.12077308,1.12150359,1.12292349,1.12130487,1.12253165,1.12070966,1.11551583,1.120065,1.11825871,1.1216296,25.8888817,42.0466042,0.000458359718,0.00112134882,0,0,0,0,0,0,0,0,0,4.6,4.8244586,5,4.921875,4.571429,4.783148,4.8,4.802267,4.7,4.77446365,4.9666667,4.873917,4.95,4.889183,4.9,4.85372925,57.14286,52.03749,-0.07837772,-0.09677246,-0.0006629891,0.0183947384,true
18-09-2016,0,0,0,0,0,0,1.12139809,0,1.1202724,0,1.12179422,0,1.12197649,0,1.1219964,0,1.12088323,0,1.12012839,0,1.12170684,0,47.43251,0.00082552433,0.00122936571,0,0,0,0,0,0,0,0,0,4.4,4.736688,5,4.84375,4.571429,4.71086359,4.8,4.77401924,4.7,4.72434473,5,4.865222,4.91666651,4.88542652,4.888889,4.85044241,57.14286,50.3357,-0.106733322,-0.0889042243,-0.000403841375,-0.0178290978,true
17-09-2016,0,0,0,0,0,0,1.12139809,0,1.1202724,0,1.12179422,0,1.12197649,0,1.1219964,0,1.12088323,0,1.12012839,0,1.12170684,0,47.43251,0.00082552433,0.00129658647,0,0,0,0,0,0,0,0,0,4.4,4.605032,4.33333349,4.68749952,4.571429,4.614485,4.8,4.74173641,4.7,4.663088,5,4.855927,4.91666651,4.88154268,4.9,4.84708166,57.14286,48.06665,-0.141372681,-0.07756832,-0.000471062143,-0.06380436,true
16-09-2016,1.11607134,1.11607134,1.11607134,1.11607134,0,1.12239456,1.12139809,1.1219722,1.1202724,1.123118,1.12179422,1.12083137,1.12197649,1.12262416,1.1219964,1.12221754,1.12088323,1.11523831,1.12012839,1.11840653,1.12170684,7.53588533,47.43251,0.00082552433,0.00136613846,0,0,0,0,0,0,0,0,0,4.4,4.407548,4,4.374999,4.571429,4.48597956,4.8,4.70484161,4.7,4.58821869,5.0333333,4.845991,4.883333,4.877527,4.911111,4.843645,57.14286,45.04125,-0.1835289,-0.0619713478,-0.0005406141,-0.121557549,true
15-09-2016,1.12511253,1.12511253,1.12511253,1.12511253,0,1.12379849,1.12406147,1.12389219,1.12447345,1.1243192,1.12370181,1.121098,1.12282014,1.12259936,1.12331307,1.12197,1.12121511,1.11516714,1.120266,1.11857021,1.12183344,85.7439,60.7313843,0.00149822235,0.00139481493,3,7,1,4,21,3,3,3,3,4.4,4.111322,4,3.749998,4.571429,4.31463957,4.8,4.66267633,4.7,4.49671173,5.0333333,4.83536959,4.883333,4.87337542,4.87777758,4.84013128,28.57143,41.0073776,-0.234665871,-0.04116249,0.000103407423,-0.19350338,true
14-09-2016,1.12473285,1.12473285,1.12473285,1.12473285,0,1.1241281,1.12353587,1.123597,1.12383437,1.124265,1.12323165,1.12134361,1.12249267,1.12207007,1.12291312,1.1215694,1.12094629,1.11536527,1.12010169,1.11871123,1.12175977,70.11732,52.39388,0.00141441822,0.00132061378,4,8,1,3,15,4,4,4,4,4.8,4.666983,4.66666651,4.499996,4.857143,4.752853,4.9333334,4.90020132,4.9,4.829314,5.133333,4.961947,4.95,4.93687963,4.888889,4.8814826,37.5,45.15269,-0.0928854942,-0.0140041243,0.00009380444,-0.07888137,true
